Yr,Rnd,Pick,Draft Position,DP Normalizado,Tm,Tm #,Tm # Normalizado,Player,Pos,Pos #,Pos # Normalizado,Age,Age Normalizado,CarAV,AvgAV,AvgAV Categorizado,College/Univ,College #,College # Normalizado,Conference,Conference #,Conference # Norm,NFL.com Grade,SPORQ,SPORQ Normalizado
2012,3,64,5,"0,4444444444",IND,0,"0,0000000000",Dwayne Allen\AlleDw00,TE,11,"0,7857142857",22,"0,3333333333",12,"1,7142857143",1,Clemson,20,"0,1273885350",ACC,2,"0,1538461538","0,7693693694","184,1917757000","0,5470198810"
2012,3,65,6,"0,5555555556",STL,7,"0,2121212121",Trumaine Johnson\JohnTr05,DB,6,"0,4285714286",22,"0,3333333333",27,"3,8571428571",2,Montana,33,"0,2101910828",Div1,9,"0,6923076923","0,7567567568","187,2782972000","0,5806730065"
2012,3,66,6,"0,5555555556",MIN,1,"0,0303030303",Josh Robinson\RobiJo01,DB,6,"0,4285714286",21,"0,1666666667",10,"1,4285714286",1,Central Florida,34,"0,2165605096",AA,3,"0,2307692308","0,6162162162","209,7180303000","0,8253390988"
2012,3,68,6,"0,5555555556",HOU,16,"0,4848484848",DeVier Posey\PoseDe00,WR,2,"0,1428571429",22,"0,3333333333",2,"0,2857142857",0,Ohio St.,27,"0,1719745223",Big10,6,"0,4615384615","0,5405405405","193,3534094000","0,6469114932"
2012,3,69,6,"0,5555555556",BUF,4,"0,1212121212",T.J. Graham\GrahT.00,WR,2,"0,1428571429",23,"0,5000000000",7,"1,0000000000",1,North Carolina St.,35,"0,2229299363",ACC,2,"0,1538461538","0,5045045045","180,0649182000","0,5020237087"
2012,3,71,6,"0,5555555556",WAS,26,"0,7878787879",Josh LeRibeus\LeRiJo00,G,9,"0,6428571429",23,"0,5000000000",10,"1,4285714286",1,SMU,36,"0,2292993631",AA,3,"0,2307692308","0,4180180180","170,8322050000","0,4013570987"
2012,3,72,6,"0,5555555556",MIA,27,"0,8181818182",Olivier Vernon\VernOl00,LB,5,"0,3571428571",21,"0,1666666667",41,"5,8571428571",3,Miami (FL),37,"0,2356687898",ACC,2,"0,1538461538","0,7297297297","198,3778409000","0,7016941421"
2012,3,73,6,"0,5555555556",SDG,10,"0,3030303030",Brandon Taylor\TaylBr02,DB,6,"0,4285714286",22,"0,3333333333",1,"0,1428571429",0,LSU,2,"0,0127388535",SEC,1,"0,0769230769","0,6036036036","179,7348142000","0,4984245012"
2012,3,74,6,"0,5555555556",KAN,5,"0,1515151515",Donald Stephenson\StepDo00,T,10,"0,7142857143",23,"0,5000000000",18,"2,5714285714",1,Oklahoma,38,"0,2420382166",Big12,4,"0,3076923077","0,7297297297","198,3667910000","0,7015736623"
2012,3,75,6,"0,5555555556",SEA,8,"0,2424242424",Russell Wilson\WilsRu00,QB,0,"0,0000000000",23,"0,5000000000",88,"12,5714285714",4,Wisconsin,14,"0,0891719745",Big10,6,"0,4615384615","0,4864864865","185,7811302000","0,5643490156"
2012,3,77,6,"0,5555555556",NYJ,9,"0,2727272727",Demario Davis\DaviDe00,LB,5,"0,3571428571",23,"0,5000000000",40,"5,7142857143",3,Arkansas St.,39,"0,2484076433",SB,8,"0,6153846154","0,5045045045","205,1007463000","0,7749956821"
2012,3,78,6,"0,5555555556",MIA,27,"0,8181818182",Michael Egnew\EgneMi00,TE,11,"0,7857142857",22,"0,3333333333",0,"0,0000000000",0,Missouri,40,"0,2547770701",SEC,1,"0,0769230769","0,5405405405","209,3269193000","0,8210747165"
2012,3,80,6,"0,5555555556",ARI,28,"0,8484848485",Jamell Fleming\FlemJa00,DB,6,"0,4285714286",23,"0,5000000000",5,"0,7142857143",0,Oklahoma,38,"0,2420382166",Big12,4,"0,3076923077","0,7567567568","197,9210941000","0,6967141161"
2012,3,81,6,"0,5555555556",DAL,2,"0,0606060606",Tyrone Crawford\CrawTy00,DE,1,"0,0714285714",22,"0,3333333333",26,"3,7142857143",2,Boise St.,9,"0,0573248408",MW,5,"0,3846153846","0,6486486486","194,3374752000","0,6576410118"
2012,3,82,6,"0,5555555556",TEN,12,"0,3636363636",Mike Martin\MartMi01,DT,4,"0,2857142857",22,"0,3333333333",6,"0,8571428571",0,Michigan,41,"0,2611464968",Big10,6,"0,4615384615","0,5945945946","212,6230937000","0,8570137407"
2012,3,83,6,"0,5555555556",CIN,17,"0,5151515152",Mohamed Sanu\SanuMo00,WR,2,"0,1428571429",23,"0,5000000000",30,"4,2857142857",2,Rutgers,42,"0,2675159236",Big10,6,"0,4615384615","0,7027027027","192,8533136000","0,6414588220"
2012,3,84,6,"0,5555555556",BAL,24,"0,7272727273",Bernard Pierce\PierBe00,RB,3,"0,2142857143",21,"0,1666666667",10,"1,4285714286",1,Temple,43,"0,2738853503",AA,3,"0,2307692308","0,5315315315","193,8340315000","0,6521518377"
2012,3,85,6,"0,5555555556",DET,14,"0,4242424242",Bill Bentley\BentBi00,DB,6,"0,4285714286",23,"0,5000000000",3,"0,4285714286",0,Louisiana-Lafayette,52,"0,3312101911",SB,8,"0,6153846154","0,5765765766","163,6161791000","0,3226789410"
2012,3,86,6,"0,5555555556",PIT,15,"0,4545454545",Sean Spence\SpenSe00,LB,5,"0,3571428571",22,"0,3333333333",12,"1,7142857143",1,Miami (FL),37,"0,2356687898",ACC,2,"0,1538461538","0,6972972973","184,9488718000","0,5552746915"
2012,3,90,6,"0,5555555556",NWE,13,"0,3939393939",Jake Bequette\BequJa00,DE,1,"0,0714285714",23,"0,5000000000",0,"0,0000000000",0,Arkansas,44,"0,2802547771",SEC,1,"0,0769230769","0,4414414414","202,2353437000","0,7437534720"
2012,3,91,6,"0,5555555556",ATL,29,"0,8787878788",Lamar Holmes\HolmLa00,T,10,"0,7142857143",23,"0,5000000000",10,"1,4285714286",1,Southern Miss,45,"0,2866242038",CUSA,11,"0,8461538462","0,1621621622","176,8515571000","0,4669876189"
