Pos # Normalizado,Age Normalizado,AltAAV Cat,College # Norm,C# Norm,Grade,SPORQ Normalizado
0.3571428571,0.6666666667,0,0.3144654088,0.07142857143,0.4254143646,0.5822847805
0.3571428571,0.5,0,0.4779874214,0.1428571429,0.4364640884,0.6760967047
0.4285714286,0.5,0,0.4150943396,0,0.3729281768,0.6610084189
0.7142857143,0.5,0,0.1949685535,0,0.4668508287,0.4564805588
0.8571428571,0.5,0,0.5094339623,0,0.4171270718,0.6546045987
0.07142857143,0.3333333333,0,0.4779874214,0.1428571429,0.4337016575,0.5017102586
0.1428571429,0.1666666667,0,0.5094339623,0,0.3701657459,0.4391711387
0.2857142857,0.1666666667,0,0.1006289308,0.1428571429,0.5110497238,0.3429926775
0.7857142857,0.3333333333,0,0.2201257862,0.1428571429,0.408839779,0.6344141591
0.6428571429,0.5,0,0.1006289308,0.1428571429,0.4226519337,0.5928638517
0.7142857143,0.3333333333,0,0.1698113208,0.4285714286,0.455801105,0.2019157479
0.2142857143,0.1666666667,0,0.3647798742,0.07142857143,0.4254143646,0.4951576438
0.3571428571,0.3333333333,0,0.748427673,0,0.3784530387,0.5921172343
0.07142857143,0.5,0,0.2893081761,0,0.408839779,0.7323995342
0.6428571429,0.3333333333,0,0.748427673,0,0.273480663,0.3576167035
0.1428571429,0.3333333333,0,0.1257861635,0.1428571429,0.5110497238,0.4596870864
0.1428571429,0.6666666667,0,0.7232704403,0.2857142857,0.3066298343,0.8248082258
0.07142857143,0.5,0,0.6981132075,0.1428571429,0.3397790055,0.6124591682
0.1428571429,0.3333333333,0,0.05660377358,0.3571428571,0.4005524862,0.5342700143
0.3571428571,0.5,0,0.3899371069,0,0.2596685083,0.4723521198
0.07142857143,0.6666666667,0,0.7987421384,0.2142857143,0.3591160221,0.7797874848
0.1428571429,0.5,0,0.6855345912,0.2857142857,0.4171270718,0.5412389463
0.2142857143,0.1666666667,0,0.5031446541,0.07142857143,0.4116022099,0.7473658419
0.4285714286,0.3333333333,0,0.1006289308,0.1428571429,0.3425414365,0.3190485246
0.8571428571,0.3333333333,0,0.01257861635,0.07142857143,0.3563535912,0.3400473452
0,0.5,0,0.9559748428,0.8571428571,0.2569060773,0.3720624185
0.7857142857,0.3333333333,0,0.3018867925,0.1428571429,0.3701657459,0.503082117
0.2142857143,0.5,0,0.4716981132,0.4285714286,0.364640884,0.6349020278
0.1428571429,0.3333333333,0,0.2264150943,0.2142857143,0.3425414365,0.5051996594
