Tm # Normalizado,Pos # Normalizado,Age Normalizado,Alt1AAV Cat,C# Norm,Grade,SPORQ Normalizado
0.5151515152,0.7857142857,0.3333333333,0,0.5,0.7531531532,0.6852435962
0.8787878788,0.4285714286,0.3333333333,1,0,0.7675675676,0.6595758075
0.0303030303,0.2857142857,0.1666666667,0,0.07142857143,0.9495495495,0.5245315891
0,0.07142857143,0.5,0,0.1428571429,0.8414414414,0.5644692647
0.5454545455,0.07142857143,0.5,0,0,0.7945945946,0.6742982877
0.4848484848,0.1428571429,0.1666666667,1,0.1428571429,0.8342342342,0.4746003956
0.6363636364,0.2857142857,0.6666666667,1,0.1428571429,0.7045045045,0.4558541576
0.2121212121,0.3571428571,0.1666666667,1,0.07142857143,0.7657657658,0.6246118648
0.06060606061,0.8571428571,0.3333333333,2,0.4285714286,0.6702702703,0.3420310162
0.1818181818,0.7857142857,0.3333333333,1,0,0.7333333333,0.4906784447
0.4242424242,0.4285714286,0.3333333333,1,0.07142857143,0.5315315315,0.5760272297
0.5151515152,0.2142857143,0.1666666667,1,0.1428571429,0.7657657658,0.5889844815
0.303030303,0.3571428571,0.3333333333,0,0.5,0.8288288288,0.5489700011
0.1212121212,0.1428571429,0.1666666667,1,0,0.7495495495,0.4275198995
0.9090909091,0.7142857143,0.6666666667,0,0.1428571429,0.7837837838,0.2879106603
0.5757575758,0.4285714286,0.5,0,0.07142857143,0.772972973,0.4577923391
0.06060606061,0.7857142857,0.3333333333,0,0.3571428571,0.6756756757,0.5657704089
0.4545454545,0.2142857143,0.1666666667,2,0.4285714286,0.5351351351,0.6031170188
0.6060606061,0.2857142857,0.1666666667,1,0.4285714286,0.7585585586,0.4915530107
0.3939393939,0.3571428571,0.5,1,0.7857142857,0.4918918919,0.9408775899
0.5151515152,0.07142857143,1,0,0.2142857143,0.6108108108,0.7872338598
0.8181818182,0.4285714286,0.3333333333,0,0.3571428571,0.7927927928,0.6517433719
0.7575757576,0.7857142857,0.5,0,0.7857142857,0.6216216216,0.6974953283
0.4848484848,0.4285714286,0.3333333333,1,0.07142857143,0.7189189189,0.659719205
0.6363636364,0.2142857143,0.3333333333,0,0.4285714286,0.6144144144,0.4840573356
0.8787878788,0.4285714286,0.6666666667,0,0.6428571429,0.7117117117,0.703244317
0.2424242424,0.2142857143,0.3333333333,0,0.07142857143,0.5387387387,0.8704924893
0.4848484848,0.07142857143,0.1666666667,1,0.07142857143,0.9640883978,0.7973306295
0.2121212121,0.7142857143,0.1666666667,0,0.07142857143,0.9502762431,0.6747646225
0.696969697,0,0.3333333333,1,0.2142857143,0.6104972376,0.5039834113
0.1212121212,0.1428571429,0.1666666667,1,0.1428571429,0.908839779,0.6065952634
0.9090909091,0.3571428571,0.5,2,0.8571428571,0.8812154696,0.8668288696
0.8787878788,0.7142857143,0.3333333333,1,0.07142857143,0.8950276243,0.6026350193
0.5757575758,0.1428571429,0.1666666667,1,0.07142857143,0.6657458564,0.5983354559
0.6666666667,0.4285714286,0.3333333333,0,0.2857142857,0.6546961326,0.6100071202
0.0303030303,0.3571428571,0.3333333333,1,0,0.6933701657,0.7075882916
0.3636363636,0.7142857143,0.5,1,0.4285714286,0.635359116,0.7422246632
0.2121212121,0.2857142857,0.5,2,0.1428571429,0.6436464088,0.7724007169
0.3333333333,0.4285714286,0.3333333333,1,0.1428571429,0.5414364641,0.6234023364
0.4545454545,0.3571428571,0.3333333333,1,0.4285714286,0.6325966851,0.8885744317
0.06060606061,0.6428571429,0.5,2,0.5,0.6132596685,0.5238641262
0.7272727273,0.3571428571,0.3333333333,2,0.07142857143,0.6657458564,0.5797241295
0.8181818182,0.7142857143,0.3333333333,1,0.07142857143,0.4834254144,0.5108590364
0.9393939394,0.1428571429,0,2,0,0.546961326,0.646516607
0.5454545455,0.4285714286,0.1666666667,1,0.07142857143,0.546961326,0.5040428919
0.6666666667,0,0.1666666667,0,0.07142857143,0.5828729282,0.4943737809
0.303030303,0.4285714286,0.5,0,0.2857142857,0.5276243094,0.734453902
0.1818181818,0.3571428571,0.3333333333,0,0.1428571429,0.4502762431,0.6467003848
0.8484848485,0.4285714286,0.3333333333,1,0,0.4779005525,0.6481092031
0.09090909091,0.1428571429,0.5,0,0.1428571429,0.5856353591,0.5482315089
0.6363636364,0.4285714286,0.3333333333,0,0.4285714286,0.5994475138,0.6474089344
0.4848484848,0.6428571429,0.5,0,0,0.5276243094,0.4944267773
0.06060606061,0.07142857143,0.3333333333,1,0.3571428571,0.5662983425,0.572587127
0.6666666667,0.6428571429,0.3333333333,1,0.3571428571,0.5055248619,0.7068453476
0.8787878788,0.2857142857,0.6666666667,0,0.4285714286,0.5607734807,0.7630938276
0.4242424242,0.3571428571,0.5,0,0.5,0.3895027624,0.559218964
0.2121212121,0.4285714286,0.5,0,0.1428571429,0.3453038674,0.4962991871
0.1818181818,0.1428571429,0.3333333333,0,0.07142857143,0.4668508287,0.6130927132
0.6060606061,0.9285714286,0.5,1,0.3571428571,0.3674033149,0.4347170749
0.1212121212,0.7142857143,0.1666666667,0,0.07142857143,0.5,0.3342593697
0.7878787879,0.3571428571,0.5,0,0,0.4447513812,0.6722029084
0.7272727273,0.2857142857,0.1666666667,0,0.1428571429,0.5055248619,0.4823679131
0.2727272727,0.7857142857,0.3333333333,0,0.2857142857,0.4309392265,0.6774683559
0.8484848485,0.7857142857,0.1666666667,0,0.5,0.4447513812,0.5638144191
0.5454545455,0.1428571429,0.1666666667,1,0.3571428571,0.4889502762,0.6537414724
0.3636363636,0.2142857143,0.1666666667,0,0,0.4640883978,0.7370234686
0.9393939394,0.4285714286,0.6666666667,0,0.4285714286,0.3729281768,0.6969279704
0,0.7142857143,0.5,1,0.4285714286,0.4447513812,0.4000363576
0.09090909091,0.07142857143,0.3333333333,0,0.07142857143,0.5,0.6114061212
0.696969697,0.1428571429,0.1666666667,1,0.4285714286,0.4613259669,0.7661804641
0.3939393939,0,0.3333333333,0,0.6428571429,0.5,0.4063052717
0.2424242424,0.7142857143,0.5,1,0.07142857143,0.317679558,0.4589980841
0.5757575758,0,0.1666666667,2,0.1428571429,0.7430939227,0.2999935139
0.3636363636,0,0.1666666667,2,0,0.6243093923,0.6737709514
0.9090909091,0.1428571429,0.1666666667,1,0.07142857143,0.861878453,0.64440531
0.2727272727,0.07142857143,0.1666666667,1,0,0.9723756906,0.552735333
0.3333333333,0.1428571429,0.5,0,0.2857142857,0.8121546961,0.6992339082
0.8787878788,0.3571428571,0.5,1,0.1428571429,0.726519337,0.9490372225
0.0303030303,0.4285714286,0.5,0,0.4285714286,0.6491712707,0.5460293201
0.6666666667,0.2857142857,0.3333333333,0,0,0.6685082873,0.5044580729
0.9393939394,0.7142857143,0.1666666667,1,0,0.6298342541,0.5205529512
0.303030303,0.2142857143,0.3333333333,1,0.4285714286,0.6160220994,0.6794570141
0.4848484848,0.4285714286,0.5,0,0.1428571429,0.5635359116,0.7643468786
